residential_area_score,name,latitude,longitude
9.90759291052436e-002,Métro Angrignon,45.44653,-73.60354
7.69538301381564e-002,LaSalle / 4e avenue,45.43074,-73.59191
7.3591091086198e-002,West Broadway / Sherbrooke,45.45636,-73.64013
7.11659816861246e-002,Belmore / Sherbrooke,45.45923,-73.63741
6.90508799973307e-002,Métro Cadillac (Sherbrooke / de Cadillac),45.57714,-73.54629
6.63318215656358e-002,de Gaspé / de Liège,45.54248,-73.63634
6.44712011676668e-002,Fleury / Lajeunesse,45.5536,-73.6616
6.09119660635892e-002,Benny / de Monkland,45.46692,-73.63171
6.07150628965139e-002,Henri-Julien / Villeray,45.53949,-73.62356
5.90485208301154e-002,Hôpital Maisonneuve-Rosemont (Rosemont / Chatelain),45.57571,-73.56156
5.85091919892986e-002,Ontario / Viau,45.55948,-73.5355
5.68480737772861e-002,"d'Oxford / de Monkland",45.47514,-73.6235
5.62394137817056e-002,Hôpital Santa Cabrini (St-Zotique / Jeanne-Jugan),45.57933,-73.5705
5.61389916013415e-002,de Hampton / de Monkland,45.47116,-73.6272
5.55602110769259e-002,Park Row O / Sherbrooke,45.46073,-73.63407
5.49917685098824e-002,Métro Langelier (Sherbrooke / Langelier),45.58276,-73.54244
5.49179263309059e-002,Benny Crescent / Benny,45.46432,-73.62557
5.43635853960077e-002,Métro Parc  (Ogilvy / Hutchison),45.53035,-73.62439
5.28432206071721e-002,Champagneur / Jean-Talon,45.5268,-73.62421
5.13639596369161e-002,Marquette / Fleury,45.56735,-73.65379
5.11136399023519e-002,de Monkland / Girouard,45.47711,-73.62144
5.0955699386827e-002,Wilson / Sherbrooke,45.4703,-73.6162
5.09083803256674e-002,Alexandra / Jean Talon,45.53233,-73.62019
5.0843192543648e-002,Grand Boulevard / Sherbrooke,45.46657,-73.6233
5.03002026725118e-002,Place Longueuil,45.52951,-73.51769
5.02947381829768e-002,CHSLD Benjamin-Victor-Rousselot (Dickson / Sherbrooke),45.5738,-73.55035
4.98166945531824e-002,Girouard / de Terrebonne,45.47843,-73.6249
4.89326694652952e-002,Dunlop / Van Horne,45.5149,-73.61968
4.86194424307485e-002,de Clifton / Sherbrooke,45.46905,-73.61858
4.85506085454649e-002,Édouard-Montpetit (Université de Montréal),45.5045,-73.61765
4.76694660343522e-002,5e avenue / Bannantyne,45.45636,-73.57614
4.69990517747075e-002,Casgrain / Mozart,45.53473,-73.61479
4.69644698664247e-002,de Gaspé / Jarry,45.54078,-73.6304
4.68995710655394e-002,Mozart / St-Laurent,45.53318,-73.61544
4.64599944930613e-002,Clark / de Liège,45.53999,-73.63814
4.63686467448831e-002,de Darlington / de la Côte-Ste-Catherine,45.5054,-73.62116
4.62116619048486e-002,Bennett / Ste-Catherine,45.55303,-73.53238
4.57942723784262e-002,McEachran / Van Horne,45.51834,-73.61665
4.55889806920643e-002,Louis-Hébert / Bélanger,45.55159,-73.59917
4.52218072909859e-002,Trans Island / Queen-Mary,45.48449,-73.62884
4.51903311118645e-002,Jacques-Le Ber / de la Pointe Nord,45.4725,-73.53928
4.51117947437239e-002,Marcil / Sherbrooke,45.47174,-73.61392
4.49849815243836e-002,Chabot / Everett,45.55072,-73.60957
4.48813315756139e-002,"d'Orléans / Hochelaga",45.55067,-73.5495
4.46445872671156e-002,François-Perrault / L.-O.-David,45.5613,-73.60143
4.41665604275356e-002,Alexandra / Waverly,45.53194,-73.61784
4.36154006057529e-002,Rockland / Lajoie,45.51562,-73.61499
4.31655141206265e-002,Bloomfield / Van Horne,45.52259,-73.61266
4.31347799461201e-002,Jean-Brillant / McKenna,45.50003,-73.6181
4.2918952689928e-002,Bélanger / St-Denis,45.53696,-73.61199
4.2381932471276e-002,Boyer / St-Zotique,45.53848,-73.60556
4.23081154560503e-002,Lajeunesse / Villeray (place Tapéo),45.54212,-73.62254
4.2130616388223e-002,St-Dominique / St-Zotique,45.53228,-73.61099
4.14313329725193e-002,Gatineau / Swail,45.49646,-73.62016
4.08885830919483e-002,Métro Longueuil - Université de Sherbrooke,45.52385,-73.51968
4.0582693736112e-002,Chabot / St-Zotique,45.54609,-73.59928
